id,name,manufacturer,manufacturer_type,active_ingredient,cost,medicine_type,quantity
102397,Gigamol Oral Suspension,Trubeca Lifesciences,Branded,Paracetamol (250mg),41.0,suspension,60
228770,Taphemol Plus 250mg Oral Suspension,Axico Healthcare,Branded,Paracetamol (250mg),41.0,suspension,60
29305,Bromol 250mg Syrup,Brook Parker,Branded,Paracetamol (250mg),42.0,syrup,60
92913,Feudamol Suspension,Staunch Health Care Pvt Ltd,Branded,Paracetamol (250mg),42.0,suspension,60
109430,Ira 250mg Oral Suspension,Iatric Pharmaceuticals,Branded,Paracetamol (250mg),42.0,suspension,60
115117,Jespar 250mg Oral Suspension,Jes Pharmacia Private Limited,Branded,Paracetamol (250mg),42.0,suspension,60
212000,Silomol 250mg Oral Suspension,Asgard Labs Private Limited,Branded,Paracetamol (250mg),42.0,suspension,60
32694,Blemol 250mg Oral Suspension,Blesslife healthcare,Branded,Paracetamol (250mg),43.0,suspension,60
89363,Fexeno 250mg Syrup,Narankaa Pharma,Branded,Paracetamol (250mg),43.0,syrup,60
174696,Paragreat 250mg Suspension,Mankind Pharma Ltd,Branded,Paracetamol (250mg),44.35,suspension,60
205057,Sedmol 250mg Oral Suspension,Sedulus Remedies,Branded,Paracetamol (250mg),44.35,suspension,60
33725,Bropara 250mg Syrup,Penardo Biotech,Branded,Paracetamol (250mg),44.75,syrup,60
56145,Castom 250mg Oral Suspension,Aeston Life Sciences,Branded,Paracetamol (250mg),45.0,suspension,60
69553,Diplol 250mg Oral Suspension,Syndicate Life Sciences Pvt Ltd,Branded,Paracetamol (250mg),45.0,suspension,60
90527,Felok Suspension,Aurz Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),45.0,suspension,60
102226,Gapmol 250mg Oral Suspension,Blair Remedies Pvt Ltd,Branded,Paracetamol (250mg),45.0,suspension,60
120299,Kiomol 250mg Oral Suspension,Kioxy Healthcare,Branded,Paracetamol (250mg),45.0,suspension,60
146238,Mexmol 250 Suspension,Comex Pharma,Branded,Paracetamol (250mg),45.0,suspension,60
235950,Vermol Oral Suspension,Aver Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),45.0,suspension,60
80162,Ethimol Forte Oral Suspension,Ethics Health Care Pvt Ltd,Branded,Paracetamol (250mg),45.75,suspension,60
103516,Gracimol 250mg Oral Suspension,Graciera Pharmacetuicals LLP,Branded,Paracetamol (250mg),48.0,suspension,60
212416,Sympar 250mg Syrup,SBM Pharmaceuticals,Branded,Paracetamol (250mg),48.0,syrup,60
252223,Zadumol 250mg Oral Suspension,Panm Labs India,Branded,Paracetamol (250mg),49.0,suspension,60
181844,Paramet 250mg Syrup,Metrix Healthcare Pvt Ltd,Branded,Paracetamol (250mg),52.0,syrup,60
172726,Ongesic 250mg Oral Suspension,Astakind Biotech Private Limited,Branded,Paracetamol (250mg),56.0,suspension,60
25059,Asetamole 250mg Oral Suspension,Astam Health Care Pvt Ltd,Branded,Paracetamol (250mg),58.0,suspension,60
239639,Vinofen 250 Oral Suspension,Anvicure Drugs,Branded,Paracetamol (250mg),60.0,suspension,60
226669,T 37 DS Suspension,Fulfil Healthcare Pvt Ltd,Branded,Paracetamol (250mg),32.0,suspension,30
80078,Eumol 250mg Suspension,Biotabs Life Sciences Pvt Ltd,Branded,Paracetamol (250mg),35.0,suspension,30
183181,Q-Mol Oral Suspension,Mediquest Inc.,Branded,Paracetamol (250mg),35.0,suspension,30
131937,Loremdolo 250mg Syrup,Loremchem Pharmaceutical,Branded,Paracetamol (250mg),78.0,syrup,60
